"nomorBatang,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen"
"1,LBN,19.4,103,88,95,13.75,,0"
"2,MK,18,81,65,73,7.53,,0"
"3,MK,8,65,52,58,2.11,,0"
"4,MM,16,60,52,56,3.94,,0"
"5,MM,22.5,85,60,72,9.16,,0"
"6,MM,22.4,65,53,59,6.12,,0"
"7,MM,21.5,85,63,74,9.25,,0"
"8,MK,23.8,81,52,66,8.14,,0"
"9,MM,19.5,62,43,52,4.14,,0"
"10,MM,22.8,80,60,70,8.77,,0"
"11,LBN,22.4,75,50,62,6.76,,0"
"12,MM,17.5,63,56,59,4.78,,0"
"13,MB,20.2,55,44,49,3.81,,0"
"14,MB,15,45,40,42,2.08,,0"
"15,MM,16.5,72,56,64,5.31,,0"
"16,MM,22,62,53,57,5.61,,0"
"17,LBN,20.9,62,46,54,4.79,,0"
"18,MM,19.6,78,65,71,7.76,,0"
"19,MM,16.2,94,72,83,8.5,13,3.1"
"20,MM,14.5,80,65,72,5,25,15.3"
"21,MM,20.4,88,73,80,10.25,,0"
"22,MM,17.2,55,45,50,3.38,,0"
"23,MM,17.5,80,57,68,6.36,,0"
"24,MM,8.5,57,41,49,1.6,,0"
"25,MM,22.2,63,44,53,4.9,,0"
"26,KR,24.5,78,65,71,9.7,,0"
"27,MM,24.3,62,52,57,6.2,,0"
"28,KR,20.2,73,56,64,6.5,,0"
"29,MB,23.8,67,45,56,5.86,,0"
"30,MM,23.7,70,47,58,6.26,,0"
"31,MM,23.7,63,49,56,5.84,,0"
"32,MM,17.5,80,60,70,6.16,18,8.4"
"33,MM,16.9,55,44,49,3.19,,0"
"34,MM,16.3,72,53,62,4.92,,0"
"35,MM,19,68,57,62,4.98,20,13.2"
"36,MM,19.9,71,55,63,5.91,12,4.6"
"37,MM,22.1,76,52,64,7.11,,0"
"38,MM,20.1,64,46,55,4.78,,0"
"39,MM,20.4,57,45,51,4.17,,0"
"40,MB,19,62,41,51,3.88,,0"
"41,MM,18.9,70,44,57,4.82,,0"
"42,MM,18.2,75,56,65,6.04,,0"
"43,MB,15.4,98,76,87,9.15,,0"
"44,KR,16.1,70,56,63,5.02,,0"
"45,MM,20.4,60,40,50,4.01,,0"
"46,MM,20,76,70,73,8.37,,0"
"47,MM,22.5,51,36,43,3.27,,0"
"48,KR,18.6,73,52,62,5.43,10,3.3"
"49,GRG,20.3,70,55,62,5.47,18,10.7"
"50,KR,20.7,81,69,75,9.15,,0"
"51,MK,20.6,73,66,69,7.24,15,6"
"52,MK,24,75,57,66,8.21,,0"
"53,MK,17.7,59,45,52,3.76,,0"
"54,MK,17.6,74,66,70,6.77,,0"
"55,KPS,18.5,63,50,56,4.56,,0"
